"","Candidate","Constituency_No","Party","pid","Votes","Margin","Margin_PC"
"62","PARANNA ESHWARAPPA MUNAVALLI",62,"BJP","AEKE1369",67617,7973,5.41375540662579
"63","ACHAR HALAPPA BASAPPA",63,"BJP","AEKE1378",79072,13318,8.08783787887069
"64","K. RAGHAVENDRA BASAVARAJ HITNAL",64,"INC","AEKE1389",98783,26351,14.576119303913
"65","RAMAPPA SOBEPPA LAMANI",65,"BJP","AEKE1398",91967,29993,18.6751263978481
"66","HANAMANTAGOUDA KRISHNAGOUDA PATIL",66,"INC","AEKE1409",77699,1868,1.16393544769144
"67","KALAKAPPA BANDI",67,"BJP","AEKE1422",83735,7334,4.2999278850382
"68","CHANDRAKANTAGOUDA CHANNAPPAGOUDA PATIL",68,"BJP","AEKE1434",73045,7979,5.51817144437913
"69","SHANKAR B. PATIL MUNENAKOPPA",69,"BJP","AEKE1445",65718,20521,12.8621212691011
"70","CHANNABASAPPA SATHYAPPA SHIVALLI",70,"INC","AEKE1460",64871,634,0.42976058132914
"71","AMRUT AYYAPPA DESAI",71,"BJP","AEKE1472",85123,20340,13.0694596157553
"72","ABBAYYA PRASAD",72,"INC","AEKE1484",76510,21042,15.5440644160449
"73","JAGADISH SHETTAR",73,"BJP","AEKE1493",55830,21647,20.7156254784872
"74","ARVIND BELLAD",74,"BJP","AEKE1512",96462,40487,25.668872996551
"75","C M NIMBANNAVAR",75,"BJP","AEKE18111",83267,25997,17.1143237087069
"76","DESHPANDE R.V",76,"INC","AEKE1538",61577,5140,3.87389492248442
"77","ROOPALI SANTOSH NAIK",77,"BJP","AEKE18505",60339,14064,8.78461942060488
"78","DINAKAR KESHAV SHETTY",78,"BJP","AEKE1566",59392,32750,22.4043454168576
"79","SUNIL BILIYA NAIK",79,"BJP","AEKE18518",83172,5930,3.57474410137082
"80","KAGERI VISHWESHWAR HEGDE",80,"BJP","AEKE1585",70595,17461,11.2594226168598
"81","ARABAIL HEBBAR SHIVARAM",81,"INC","AEKE1593",66290,1483,1.05723920126042
"82","C M UDASI",82,"BJP","AEKE1607",80529,6514,3.97202387848558
"83","BASAVARAJ BOMMAI",83,"BJP","AEKE1613",83868,9265,5.41578498193764
"84","NEHARU OLEKAR",84,"BJP","AEKE1625",86565,11304,6.62637536564063
"85","BALLARY VIRUPAKSHAPPA RUDRAPPA",85,"BJP","AEKE1636",91721,21271,12.7498756241271
"86","BASAVANAGOUDA PATIL",86,"INC","GEKE18161",72461,555,0.368413366435219
"87","R SHANKAR S/O M RAMACHANDRA",87,"KPJP","AEKE18174",63910,4338,2.41912547888981
"88","P. T. PARAMESHWARA NAIK",88,"INC","AEKE1677",54097,9178,6.55665095013573
"89","BHEEMA NAIK L.B.P.",89,"INC","AEKE1687",78337,7232,4.10451996640105
"90","ANAND SINGH",90,"INC","AEKE1701",83214,8228,4.95274784807079
"91","J N GANESH",91,"INC","AEKE1722",80592,5555,3.35123069498069
"92","M.S. SOMALINGAPPA",92,"BJP","AEKE1732",82546,21271,13.9801907315759
"93","B NAGENDRA",93,"INC","AEKE18823",79186,2679,1.64226864793291
"94","G. SOMASEKHARA REDDY",94,"BJP","AEKE18832",76589,16155,10.6797913622932
"95","E TUKARAM",95,"INC","AEKE1781",78106,14010,8.88339357047746
