"","Candidate","Constituency_No","Party","pid","Votes","Margin"
"97","B. SREERAMULU",97,"BJP","AEKE147",84018,42045
"98","T RAGHUMURTHY",98,"INC","AEKE1817",72874,13539
"99","G H THIPPAREDDY",99,"BJP","AEKE1827",82896,32985
"100","K POORNIMA",100,"BJP","AEKE18206",77733,12875
"101","GULIHATTI D SHEKAR",101,"BJP","GEKE18218",90562,25992
"102","M. CHANDRAPPA",102,"BJP","AEKE1872",107976,38940
"103","S.V.RAMACHANDRA",103,"BJP","AEKE155",78948,29221
"104","G KARUNAKARA REDDY",104,"BJP","GEKE18256",67603,9647
"105","S RAMAPPA",105,"INC","AEKE1914",64801,7260
"106","S.A. RAVINDRANATH",106,"BJP","AEKE1929",76540,4071
"107","SHAMANUR SHIVASHANKARAPPA",107,"INC","AEKE1947",71369,15884
"108","N. LINGANNA.",108,"BJP","AEKE18296",50556,6458
"109","K MADALU VIRUPAKSHAPPA",109,"BJP","AEKE1983",73794,25780
"110","M P RENUKACHARYA",110,"BJP","AEKE1995",80624,4233
"111","K.B. ASHOK NAIK",111,"BJP","AEKE18321",69326,3777
"112","B.K.SANGAMESHWARA.",112,"INC","AEKE2020",75722,11567
"113","K.S. ESHWARAPPA",113,"BJP","AEKE2038",104027,46107
"114","ARAGA JNANENDRA",114,"BJP","AEKE2052",67527,21955
"115","B S YADIYURAPPA",115,"BJP","AEKE2060",86983,35397
"116","S.KUMARA BANGARAPPA",116,"BJP","AEKE435",72091,13286
"117","H HALAPPA HARATHALU",117,"BJP","AEKE18376",78475,8039
"118","B. M. SUKUMAR SHETTY",118,"BJP","AEKE2093",96029,24393
"119","HALADY SRINIVAS SHETTY",119,"BJP","AEKE2105",103434,56405
"120","K RAGHUPATHI BHAT",120,"BJP","AEKE4453",84946,12044
"121","LALAJI .R. MENDON",121,"BJP","AEKE2119",75893,11917
"122","V. SUNIL KUMAR",122,"BJP","AEKE2129",91245,42566
"123","T D RAJEGOWDA",123,"INC","AEKE2139",62780,1989
"124","M.P.KUMARASWAMY",124,"BJP","AEKE2148",58783,12512
"125","C T RAVI",125,"BJP","AEKE2154",70863,26314
"126","D S SURESH",126,"BJP","AEKE2170",44940,11687
"127","K S PRAKASH",127,"BJP","AEKE2185",62232,15372
"128","J.C. MADHU SWAMY",128,"BJP","AEKE348",69612,10277
"129","B.C. NAGESH",129,"BJP","AEKE2203",61383,25563
"130","JAYARAM A S",130,"BJP","AEKE2213",60710,2049
"131","DR H.D. RANGANATH",131,"INC","AEKE18898",58697,5600
"132","G.B. JYOTHI GANESH",132,"BJP","AEKE2234",60421,5293
"133","D C GOWRISHANKAR",133,"JD(S)","AEKE2248",82740,5640
"134","DR. G. PARAMESHWARA",134,"INC","AEKE2263",81598,7619
