"","Constituency_No","NewCand","Party","pid.x","Votes.x","OldCand","Last_party","pid.y","Votes.y"
"144",142,"V. MUNIYAPPA","INC","GEKE18464",76240,"M. RAJANNA","JD(S)","AEKR13298",77931
"145",143,"J K KRISHNA REDDY","JD(S)","AEKE2405",87753,"J.K.KRISHNAREDDY","JD(S)","AEKR15974",68950
"146",144,"K R RAMESH KUMAR","INC","AEKE2420",93571,"K.R.RAMESHKUMAR","INC","AEKR323",83426
"147",145,"H.NAGESH","IND","AEKE19445",74068,"G.MANJUNATHA","IND","AEKR16009",73146
"148",146,"ROOPAKALA.M","INC","AEKE19474",71151,"RAMAKKA .Y","BJP","AEKR16026",55014
"149",147,"S.N.NARAYANASWAMY K.M","INC","AEKE2474",70871,"S.N.NARAYANASWAMY.K.M","INC","AEKR16047",71570
"150",148,"K.SRINIVASA GOWDA","JD(S)","AEKE2489",82788,"R. VATHUR PRAKASH","IND","AEKR13391",62957
"151",149,"K.Y. NANJEGOWDA","INC","AEKE19513",75677,"K.S. MANJUNATHGOWDA","JD(S)","AEKR16077",57645
"152",150,"S.R.VISHWANATH","BJP","AEKE2520",120110,"S.R. VISHWANATH","BJP","AEKR13407",75507
"153",151,"B.A.BASAVARAJA","INC","AEKE2536",105019,"B.A.BASAVARAJA","INC","AEKR16114",106299
"154",152,"KRISHNA BYREGOWDA","INC","GEKE17302",114964,"KRISHNA BYRE GOWDA","INC","GEKR5271",96125
"155",153,"S.T SOMASHEKHAR","INC","AEKE2577",115273,"S.T.SOMASHEKAR","INC","AEKR10936",120380
"156",155,"R.MANJUNATHA","JD(S)","AEKE17352",94044,"S MUNIRAJU","BJP","AEKR13463",57562
"157",156,"K. GOPALAIAH","JD(S)","AEKE2631",88218,"GOPALAIAH .K.","JD(S)","AEKR13468",66127
"158",157,"DR. ASHWATH NARAYAN.C.N.","BJP","AEKE2645",83130,"DR. ASHWATH NARAYAN C. N.","BJP","AEKR13479",57609
"159",158,"SURESH B S","INC","AEKE17385",74453,"R. JAGADEESH KUMAR","BJP","AEKR16227",38162
"160",159,"R. AKHANDA SRINIVASAMURTHY","INC","AEKE2684",97574,"AKHANDA SRINIVAS MURTHY.R","JD(S)","AEKR16257",48995
"161",160,"K.J GEORGE","INC","AEKE2697",109955,"K.J. GEORGE","INC","AEKR1709",69673
"162",161,"S. RAGHU","BJP","AEKE2711",58887,"S. RAGHU","BJP","AEKR13527",53364
"163",162,"R ROSHAN BAIG","INC","AEKE2722",59742,"R.ROSHAN BAIG","INC","AEKR9443",49649
"164",163,"N A HARIS","INC","AEKE2741",60009,"N.A.HARIS","INC","AEKR13542",54342
"165",164,"DINESH GUNDU RAO","INC","AEKE2756",47354,"DINESH GUNDU RAO","INC","AEKR13559",54968
"166",165,"S SURESH KUMAR","BJP","AEKE2770",56271,"S.SURESH KUMAR","BJP","AEKR13589",39291
"167",166,"V SOMANNA","BJP","GEKE17492",79135,"PRIYAKRISHNA","INC","AEKR16368",72654
"168",167,"M. KRISHNAPPA","INC","AEKE2804",73353,"M.KRISHNAPPA","INC","AEKRX191",76891
"169",168,"B.Z. ZAMEER AHMED KHAN","INC","GEKE252",65339,"B.Z.ZAMEER AHMED KHAN","JD(S)","GEKR5233",56339
"170",169,"UDAY B.GARUDACHAR","BJP","AEKE2847",57312,"R.V. DEVRAJ","INC","AEKR5079",44714
"171",170,"RAVISUBRAMANYA.L.A","BJP","AEKE2862",76018,"RAVI SUBRAMANYA.L.A.","BJP","AEKR13640",43876
"172",171,"R ASHOKA","BJP","AEKE397",77868,"R ASHOKA","BJP","AEKR13661",53680
"173",172,"RAMALINGA REDDY","INC","AEKE2894",67085,"RAMALINGAREDDY","INC","AEKRX189",69712
"174",174,"ARAVIND LIMBAVALI","BJP","AEKE2921",141682,"ARVIND LIMBAVALI","BJP","AEKR13701",110244
